date,day_weather,night_weather,max_temp,min_temp,day_wind,night_wind
2022-03-11,多云 ,  多云,10℃ , 5℃,东北风 4-5级 , 东北风 4-5级
2022-03-12,小到中雨 ,  多云,9℃ , 5℃,南风 4-5级 , 南风 4-5级
2022-03-13,多云 ,  小到中雨,9℃ , 5℃,东北风 4-5级 , 东北风 4-5级
2022-03-14,阴 ,  多云,8℃ , 2℃,西北风 3-4级 , 西北风 3-4级
2022-03-15,多云 ,  多云,13℃ , 3℃,南风 4-5级 , 南风 4-5级
2022-03-16,多云 ,  多云,7℃ , 0℃,东北风 4-5级 , 东北风 4-5级
2022-03-17,多云 ,  多云,5℃ , -1℃,北风 5-6级 , 北风 5-6级
2022-03-18,雨夹雪 ,  中雪,5℃ , -1℃,北风 4-5级 , 北风 4-5级
2022-03-19,多云 ,  晴,3℃ , -2℃,北风 5-6级 , 北风 5-6级
2022-03-20,晴 ,  晴,7℃ , 2℃,北风 3-4级 , 北风 3-4级
2022-03-21,多云 ,  晴,9℃ , 2℃,西南风 3-4级 , 西南风 3-4级
2022-03-22,多云 ,  阴,8℃ , 4℃,西南风 3-4级 , 西南风 3-4级
2022-03-23,晴 ,  多云,11℃ , 5℃,西南风 4-5级 , 西南风 4-5级
2022-03-24,多云 ,  阴,14℃ , 8℃,南风 4-5级 , 南风 4-5级
2022-03-25,中到大雨 ,  小雨,9℃ , 6℃,东北风 4-5级 , 东北风 4-5级
2022-03-26,晴 ,  多云,12℃ , 5℃,西北风 4-5级 , 西北风 4-5级
2022-03-27,晴 ,  晴,10℃ , 5℃,西北风 4-5级 , 西北风 4-5级
2022-03-28,晴 ,  多云,12℃ , 6℃,南风 4-5级 , 南风 4-5级
2022-03-29,多云 ,  小雨,12℃ , 6℃,南风 4-5级 , 南风 4-5级
2022-03-30,多云 ,  晴,10℃ , 4℃,北风 4-5级 , 北风 4-5级
2022-03-31,晴 ,  晴,11℃ , 4℃,西北风 4-5级 , 西北风 4-5级
2022-04-01,晴 ,  多云,11℃ , 4℃,西北风 3-4级 , 西北风 3-4级
2022-04-02,晴 ,  晴,13℃ , 6℃,西风 1-2级 , 西风 1-2级
2022-04-03,晴 ,  晴,14℃ , 8℃,西南风 4-5级 , 西南风 4-5级
2022-04-04,多云 ,  晴,16℃ , 9℃,南风 3-4级 , 南风 3-4级
2022-04-05,晴 ,  晴,17℃ , 5℃,北风 3-4级 , 北风 3-4级
2022-04-06,阵雨 ,  晴,9℃ , 5℃,东北风 4-5级 , 东北风 4-5级
2022-04-07,晴 ,  晴,14℃ , 7℃,西风 4-5级 , 西风 4-5级
2022-04-08,晴 ,  多云,17℃ , 11℃,南风 4-5级 , 南风 4-5级
2022-04-09,晴 ,  晴,18℃ , 9℃,南风 4-5级 , 南风 4-5级
2022-04-10,晴 ,  晴,20℃ , 11℃,南风 4-5级 , 南风 4-5级
2022-04-11,多云 ,  小到中雨,20℃ , 9℃,北风 5-6级 , 北风 5-6级
2022-04-12,阵雨 ,  多云,15℃ , 8℃,北风 4-5级 , 北风 4-5级
2022-04-13,晴 ,  多云,14℃ , 8℃,东北风 4-5级 , 东北风 4-5级
2022-04-14,多云 ,  晴,12℃ , 8℃,东北风 4-5级 , 东北风 4-5级
2022-04-15,晴 ,  晴,16℃ , 8℃,北风 4-5级 , 北风 4-5级
2022-04-16,晴 ,  晴,17℃ , 10℃,西风 3-4级 , 西风 3-4级
2022-04-17,多云 ,  多云,17℃ , 11℃,西风 4-5级 , 西风 4-5级
2022-04-18,多云 ,  晴,20℃ , 9℃,北风 4-5级 , 北风 4-5级
2022-04-19,晴 ,  晴,19℃ , 12℃,西南风 4-5级 , 西南风 4-5级
2022-04-20,晴 ,  晴,21℃ , 13℃,南风 4-5级 , 南风 4-5级
2022-04-21,多云 ,  阵雨,20℃ , 11℃,南风 4-5级 , 南风 4-5级
2022-04-22,晴 ,  晴,17℃ , 10℃,北风 3-4级 , 北风 3-4级
2022-04-23,晴 ,  多云,19℃ , 12℃,南风 4-5级 , 南风 4-5级
2022-04-24,多云 ,  多云,20℃ , 10℃,东风 3-4级 , 东风 3-4级
2022-04-25,多云 ,  阵雨,17℃ , 11℃,南风 4-5级 , 南风 4-5级
2022-04-26,雷阵雨 ,  晴,21℃ , 11℃,北风 4-5级 , 北风 4-5级
2022-04-27,晴 ,  阴,17℃ , 11℃,北风 3-4级 , 北风 3-4级
2022-04-28,阵雨 ,  多云,15℃ , 9℃,北风 4-5级 , 北风 4-5级
2022-04-29,晴 ,  多云,17℃ , 10℃,西南风 3-4级 , 西南风 3-4级
2022-04-30,多云 ,  晴,17℃ , 11℃,西北风 4-5级 , 西北风 4-5级
2022-05-01,晴 ,  晴,20℃ , 10℃,西北风 3-4级 , 西北风 3-4级
2022-05-02,晴 ,  晴,19℃ , 11℃,南风 4-5级 , 南风 4-5级
2022-05-03,晴 ,  晴,23℃ , 15℃,西南风 4-5级 , 西南风 4-5级
2022-05-04,晴 ,  晴,25℃ , 15℃,西南风 4-5级 , 西南风 4-5级
2022-05-05,晴 ,  多云,23℃ , 14℃,南风 4-5级 , 南风 4-5级
2022-05-06,阵雨 ,  多云,18℃ , 12℃,北风 4-5级 , 北风 4-5级
2022-05-07,晴 ,  多云,18℃ , 12℃,北风 4-5级 , 北风 4-5级
2022-05-08,阵雨 ,  多云,15℃ , 10℃,北风 3-4级 , 北风 3-4级
2022-05-09,晴 ,  多云,17℃ , 11℃,北风 3-4级 , 北风 3-4级
2022-05-10,多云 ,  阴,16℃ , 11℃,南风 3-4级 , 南风 3-4级
2022-05-11,多云 ,  阴,18℃ , 12℃,北风 3-4级 , 北风 3-4级
2022-05-12,多云 ,  多云,19℃ , 12℃,西北风 3-4级 , 西北风 3-4级
2022-05-13,多云 ,  晴,20℃ , 13℃,西风 4-5级 , 西风 4-5级
2022-05-14,晴 ,  晴,20℃ , 12℃,西北风 4-5级 , 西北风 4-5级
2022-05-15,晴 ,  晴,21℃ , 14℃,西南风 3-4级 , 西南风 3-4级
2022-05-16,晴 ,  晴,23℃ , 13℃,西风 3-4级 , 西风 3-4级
2022-05-17,晴 ,  多云,20℃ , 13℃,南风 3-4级 , 南风 3-4级
2022-05-18,晴 ,  晴,24℃ , 13℃,北风 3-4级 , 北风 3-4级
2022-05-19,晴 ,  多云,22℃ , 15℃,南风 3-4级 , 南风 3-4级
2022-05-20,晴 ,  晴,24℃ , 16℃,南风 3-4级 , 南风 3-4级
2022-05-21,晴 ,  晴,25℃ , 18℃,西南风 4-5级 , 西南风 4-5级
2022-05-22,晴 ,  晴,28℃ , 16℃,西风 3-4级 , 西风 3-4级
2022-05-23,晴 ,  晴,29℃ , 18℃,西南风 4-5级 , 西南风 4-5级
2022-05-24,晴 ,  雷阵雨,28℃ , 15℃,南风 4-5级 , 南风 4-5级
2022-05-25,多云 ,  晴,23℃ , 15℃,北风 4-5级 , 北风 4-5级
2022-05-26,多云 ,  多云,25℃ , 16℃,西北风 4-5级 , 西北风 4-5级
2022-05-27,晴 ,  多云,26℃ , 18℃,西南风 4-5级 , 西南风 4-5级
2022-05-28,晴 ,  多云,28℃ , 18℃,西南风 4-5级 , 西南风 4-5级
2022-05-29,雷阵雨 ,  中雨,26℃ , 16℃,南风 4-5级 , 南风 4-5级
2022-05-30,晴 ,  晴,25℃ , 17℃,西北风 4-5级 , 西北风 4-5级
2022-05-31,多云 ,  雷阵雨,26℃ , 16℃,西南风 4-5级 , 西南风 4-5级
2022-06-01,晴 ,  晴,25℃ , 17℃,南风 3-4级 , 南风 3-4级
2022-06-02,晴 ,  多云,28℃ , 16℃,东南风 3-4级 , 东南风 3-4级
2022-06-03,多云 ,  多云,24℃ , 19℃,东南风 4-5级 , 东南风 4-5级
2022-06-04,多云 ,  阴,22℃ , 17℃,东南风 4-5级 , 东南风 4-5级
2022-06-05,多云 ,  阴,21℃ , 17℃,东南风 4-5级 , 东南风 4-5级
2022-06-06,雷阵雨 ,  阵雨,21℃ , 16℃,东北风 4-5级 , 东北风 4-5级
2022-06-07,多云 ,  多云,21℃ , 15℃,东北风 3-4级 , 东北风 3-4级
2022-06-08,多云 ,  多云,20℃ , 17℃,东风 3-4级 , 东风 3-4级
2022-06-09,多云 ,  小到中雨,22℃ , 18℃,东南风 4-5级 , 东南风 4-5级
2022-06-10,雷阵雨 ,  多云,22℃ , 17℃,东南风 4-5级 , 东南风 4-5级
2022-06-11,多云 ,  多云,23℃ , 18℃,东南风 4-5级 , 东南风 4-5级
2022-06-12,雷阵雨 ,  阴,23℃ , 18℃,南风 4-5级 , 南风 4-5级
2022-06-13,雷阵雨 ,  雷阵雨,23℃ , 18℃,东南风 4-5级 , 东南风 4-5级
2022-06-14,中雨 ,  中到大雨,21℃ , 17℃,东南风 4-5级 , 东南风 4-5级
2022-06-15,阵雨 ,  晴,21℃ , 17℃,东风 3-4级 , 东风 3-4级
2022-06-16,晴 ,  多云,26℃ , 19℃,南风 3-4级 , 南风 3-4级
2022-06-17,多云 ,  多云,23℃ , 19℃,东南风 4-5级 , 东南风 4-5级
2022-06-18,阴 ,  多云,23℃ , 19℃,东南风 4-5级 , 东南风 4-5级
2022-06-19,多云 ,  阴,24℃ , 19℃,东风 3-4级 , 东风 3-4级
