year,month,max_temp,min_temp
2022,1,0.0967741935483871,-6.354838709677419
2022,2,1.6785714285714286,-4.107142857142857
2022,3,9.129032258064516,2.838709677419355
2022,4,16.666666666666668,9.233333333333333
2022,5,22.387096774193548,14.096774193548388
2022,6,24.4,18.7
2022,7,28.322580645161292,22.64516129032258
2022,8,28.225806451612904,22.225806451612904
2022,9,24.6,18.033333333333335
2022,10,16.516129032258064,10.516129032258064
2022,11,12.1,5.466666666666667
2022,12,1.3225806451612903,-4.451612903225806
2023,1,1.6129032258064515,-5.258064516129032
2023,2,4.107142857142857,-1.8928571428571428
2023,3,11.0,3.5161290322580645
2023,4,16.266666666666666,8.9
2023,5,22.35483870967742,14.32258064516129
2023,6,27.033333333333335,19.233333333333334
2023,7,28.903225806451612,23.06451612903226
2023,8,29.161290322580644,23.096774193548388
2023,9,26.933333333333334,19.7
2023,10,20.806451612903224,13.774193548387096
2023,11,9.466666666666667,2.3333333333333335
2023,12,1.4516129032258065,-5.0
2024,1,1.096774193548387,-5.870967741935484
2024,2,1.8620689655172413,-4.724137931034483
2024,3,9.741935483870968,2.3548387096774195
2024,4,17.966666666666665,9.8
2024,5,23.548387096774192,14.96774193548387
2024,6,26.833333333333332,19.166666666666668
2024,7,28.548387096774192,22.870967741935484
2024,8,30.387096774193548,24.741935483870968
2024,9,25.8,18.933333333333334
2024,10,18.258064516129032,11.258064516129032
2024,11,12.1,5.733333333333333
2024,12,3.5161290322580645,-2.935483870967742
